,timestamp_utc,air_temperature,precipitation,global_radiation,date,hour,min
140,2020-06-08 12:00:00+00:00,17.0,0,0,2020-06-08,12,0
141,2020-06-09 12:00:00+00:00,13.5,0,0,2020-06-09,12,0
142,2020-06-10 12:00:00+00:00,13.9,0,0,2020-06-10,12,0
143,2020-06-11 12:00:00+00:00,17.2,0,0,2020-06-11,12,0
144,2020-06-12 12:00:00+00:00,23.9,0,0,2020-06-12,12,0
145,2020-06-13 12:00:00+00:00,21.7,0,0,2020-06-13,12,0
146,2020-06-14 12:00:00+00:00,15.2,0,0,2020-06-14,12,0
147,2020-06-15 12:00:00+00:00,19.2,0,0,2020-06-15,12,0
148,2020-06-16 12:00:00+00:00,17.7,0,0,2020-06-16,12,0
149,2020-06-17 12:00:00+00:00,15.0,0,0,2020-06-17,12,0
150,2020-06-18 12:00:00+00:00,20.1,0,0,2020-06-18,12,0
151,2020-06-19 12:00:00+00:00,15.3,0,0,2020-06-19,12,0
152,2020-06-20 12:00:00+00:00,20.7,0,0,2020-06-20,12,0
153,2020-06-21 12:00:00+00:00,20.8,0,0,2020-06-21,12,0
154,2020-06-22 12:00:00+00:00,21.4,0,0,2020-06-22,12,0
155,2020-06-23 12:00:00+00:00,24.0,0,0,2020-06-23,12,0
156,2020-06-24 12:00:00+00:00,24.8,0,0,2020-06-24,12,0
157,2020-06-25 12:00:00+00:00,24.6,0,0,2020-06-25,12,0
158,2020-06-26 12:00:00+00:00,25.2,0,0,2020-06-26,12,0
159,2020-06-27 12:00:00+00:00,23.9,0,0,2020-06-27,12,0
160,2020-06-28 12:00:00+00:00,22.6,0,0,2020-06-28,12,0
161,2020-06-29 12:00:00+00:00,20.0,0,0,2020-06-29,12,0
162,2020-06-30 12:00:00+00:00,23.3,0,0,2020-06-30,12,0
163,2020-07-01 12:00:00+00:00,26.8,0,0,2020-07-01,12,0
164,2020-07-02 12:00:00+00:00,20.3,0,0,2020-07-02,12,0
165,2020-07-03 12:00:00+00:00,19.3,0,0,2020-07-03,12,0
166,2020-07-04 12:00:00+00:00,23.3,0,0,2020-07-04,12,0
167,2020-07-05 12:00:00+00:00,25.9,0,0,2020-07-05,12,0
168,2020-07-06 12:00:00+00:00,19.4,0,0,2020-07-06,12,0
169,2020-07-07 12:00:00+00:00,21.1,0,0,2020-07-07,12,0
170,2020-07-08 12:00:00+00:00,25.3,0,0,2020-07-08,12,0
171,2020-07-09 12:00:00+00:00,28.0,0,0,2020-07-09,12,0
172,2020-07-10 12:00:00+00:00,29.6,0,0,2020-07-10,12,0
173,2020-07-11 12:00:00+00:00,17.4,0,0,2020-07-11,12,0
174,2020-07-12 12:00:00+00:00,20.9,0,0,2020-07-12,12,0
175,2020-07-15 12:00:00+00:00,21.3,0,0,2020-07-15,12,0
176,2020-07-16 12:00:00+00:00,18.9,0,0,2020-07-16,12,0
177,2020-07-17 12:00:00+00:00,18.5,0,0,2020-07-17,12,0
178,2020-07-18 12:00:00+00:00,21.7,0,0,2020-07-18,12,0
179,2020-07-19 12:00:00+00:00,24.2,0,0,2020-07-19,12,0
180,2020-07-20 12:00:00+00:00,27.7,0,0,2020-07-20,12,0
181,2020-07-21 12:00:00+00:00,24.8,0,0,2020-07-21,12,0
182,2020-07-22 12:00:00+00:00,24.4,0,0,2020-07-22,12,0
183,2020-07-23 12:00:00+00:00,27.1,0,0,2020-07-23,12,0
184,2020-07-24 12:00:00+00:00,20.2,0,0,2020-07-24,12,0
185,2020-07-25 12:00:00+00:00,24.3,0,0,2020-07-25,12,0
186,2020-07-26 12:00:00+00:00,24.3,0,0,2020-07-26,12,0
187,2020-07-27 12:00:00+00:00,28.2,0,0,2020-07-27,12,0
188,2020-07-28 12:00:00+00:00,30.2,0,0,2020-07-28,12,0
189,2020-07-29 12:00:00+00:00,24.9,0,0,2020-07-29,12,0
190,2020-07-30 12:00:00+00:00,26.7,0,0,2020-07-30,12,0
191,2020-07-31 12:00:00+00:00,28.0,0,0,2020-07-31,12,0
192,2020-08-01 12:00:00+00:00,30.9,0,0,2020-08-01,12,0
193,2020-08-02 12:00:00+00:00,24.2,0,0,2020-08-02,12,0
194,2020-08-03 12:00:00+00:00,18.7,0,0,2020-08-03,12,0
195,2020-08-04 12:00:00+00:00,15.8,0,0,2020-08-04,12,0
196,2020-08-05 12:00:00+00:00,20.2,0,0,2020-08-05,12,0
197,2020-08-06 12:00:00+00:00,23.6,0,0,2020-08-06,12,0
198,2020-08-07 12:00:00+00:00,26.6,0,0,2020-08-07,12,0
199,2020-08-08 12:00:00+00:00,27.3,0,0,2020-08-08,12,0
200,2020-08-09 12:00:00+00:00,27.9,0,0,2020-08-09,12,0
201,2020-08-10 12:00:00+00:00,27.8,0,0,2020-08-10,12,0
202,2020-08-11 12:00:00+00:00,27.2,0,0,2020-08-11,12,0
203,2020-08-12 12:00:00+00:00,28.1,0,0,2020-08-12,12,0
204,2020-08-13 12:00:00+00:00,26.8,0,0,2020-08-13,12,0
205,2020-08-14 12:00:00+00:00,22.2,0,0,2020-08-14,12,0
206,2020-08-15 12:00:00+00:00,25.8,0,0,2020-08-15,12,0
207,2020-08-16 12:00:00+00:00,27.7,0,0,2020-08-16,12,0
208,2020-08-17 12:00:00+00:00,22.5,0,0,2020-08-17,12,0
209,2020-08-18 12:00:00+00:00,23.6,0,0,2020-08-18,12,0
210,2020-08-19 12:00:00+00:00,25.0,0,0,2020-08-19,12,0
211,2020-08-20 12:00:00+00:00,26.9,0,0,2020-08-20,12,0
212,2020-08-21 12:00:00+00:00,28.8,0,0,2020-08-21,12,0
213,2020-08-22 12:00:00+00:00,21.8,0,0,2020-08-22,12,0
214,2020-08-23 12:00:00+00:00,22.5,0,0,2020-08-23,12,0
215,2020-08-24 12:00:00+00:00,22.9,0,0,2020-08-24,12,0
216,2020-08-25 12:00:00+00:00,22.6,0,0,2020-08-25,12,0
217,2020-08-26 12:00:00+00:00,26.8,0,0,2020-08-26,12,0
218,2020-08-27 12:00:00+00:00,25.0,0,0,2020-08-27,12,0
219,2020-08-28 12:00:00+00:00,24.4,0,0,2020-08-28,12,0
220,2020-08-29 12:00:00+00:00,14.9,0,0,2020-08-29,12,0
221,2020-08-30 12:00:00+00:00,13.2,0,0,2020-08-30,12,0
222,2020-08-31 12:00:00+00:00,18.7,0,0,2020-08-31,12,0
223,2020-09-01 12:00:00+00:00,19.1,0,0,2020-09-01,12,0
224,2020-09-02 12:00:00+00:00,18.5,0,0,2020-09-02,12,0
225,2020-09-03 12:00:00+00:00,22.2,0,0,2020-09-03,12,0
226,2020-09-04 12:00:00+00:00,22.4,0,0,2020-09-04,12,0
227,2020-09-05 12:00:00+00:00,26.4,0,0,2020-09-05,12,0
228,2020-09-06 12:00:00+00:00,17.9,0,0,2020-09-06,12,0
229,2020-09-07 12:00:00+00:00,18.0,0,0,2020-09-07,12,0
230,2020-09-08 12:00:00+00:00,20.8,0,0,2020-09-08,12,0
231,2020-09-09 12:00:00+00:00,21.5,0,0,2020-09-09,12,0
232,2020-09-10 12:00:00+00:00,23.4,0,0,2020-09-10,12,0
233,2020-09-11 12:00:00+00:00,23.0,0,0,2020-09-11,12,0
234,2020-09-12 12:00:00+00:00,23.6,0,0,2020-09-12,12,0
235,2020-09-13 12:00:00+00:00,24.8,0,0,2020-09-13,12,0
236,2020-09-14 12:00:00+00:00,23.1,0,0,2020-09-14,12,0
237,2020-09-15 12:00:00+00:00,25.1,0,0,2020-09-15,12,0
